transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date
13548,9,3493,30/6/2017,TRUE,Approved,Norco Bicycles,Standard,medium,small,1216.14,"$1,082.36",33455
18717,79,3493,19/5/2017,TRUE,Approved,Solex,Touring,medium,large,2083.94,$675.03,41533
6765,37,3492,3/9/2017,FALSE,Approved,OHM Cycles,Standard,low,medium,1793.43,$248.82,36361
15591,11,3492,11/10/2017,FALSE,Approved,Giant Bicycles,Standard,high,medium,1274.93,$764.96,39298
18129,80,3492,10/6/2017,TRUE,Approved,OHM Cycles,Touring,low,medium,1073.07,$933.84,35455
1282,97,3491,2/2/2017,FALSE,Approved,Solex,Standard,medium,large,202.62,$151.96,42458
6569,32,3491,24/6/2017,TRUE,Approved,Giant Bicycles,Standard,medium,medium,642.7,$211.37,37337
14219,48,3491,29/4/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,1762.96,$950.52,41848
19444,29,3491,13/5/2017,TRUE,Approved,Norco Bicycles,Road,medium,medium,543.39,$407.54,42696
2225,35,3490,2/7/2017,TRUE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,$954.82,42688
2496,0,3490,18/3/2017,FALSE,Approved,OHM Cycles,Standard,high,medium,227.88,$136.73,37659
3525,50,3490,1/1/2017,TRUE,Approved,Giant Bicycles,Standard,medium,medium,642.7,$211.37,37337
17257,76,3490,17/7/2017,FALSE,Approved,WeareA2B,Road,low,small,1172.78,"$1,043.77",37539
18685,15,3490,12/6/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1292.84,$13.44,39915
2810,69,3489,7/4/2017,TRUE,Approved,Giant Bicycles,Road,medium,medium,792.9,$594.68,33879
5565,20,3489,14/2/2017,TRUE,Approved,Trek Bicycles,Standard,medium,small,1775.81,"$1,580.47",40303
6733,78,3489,5/4/2017,FALSE,Approved,Giant Bicycles,Standard,medium,large,1765.3,$709.48,42218
7025,85,3489,26/1/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,752.64,$205.36,36145
13472,1,3489,13/9/2017,FALSE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,$954.82,41167
15729,42,3489,16/7/2017,TRUE,Approved,OHM Cycles,Road,medium,small,1810,"$1,610.90",38991
871,38,3488,22/10/2017,FALSE,Approved,Solex,Standard,medium,medium,1577.53,$826.51,35560
16036,66,3488,13/12/2017,FALSE,Approved,Giant Bicycles,Road,low,small,590.26,$525.33,36668
244,63,3487,20/12/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1992.93,$762.63,34115
3155,32,3487,17/5/2017,FALSE,Approved,Giant Bicycles,Standard,high,medium,1179,$707.40,35667
4505,0,3487,4/7/2017,TRUE,Approved,Norco Bicycles,Road,medium,medium,543.39,$407.54,42696
727,94,3486,9/12/2017,FALSE,Approved,Giant Bicycles,Standard,medium,large,1635.3,$993.66,41434
8739,74,3486,24/6/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,1228.07,$400.91,36668
9129,89,3486,27/4/2017,TRUE,Approved,WeareA2B,Touring,medium,large,1362.99,$57.74,34079
12572,70,3486,21/12/2017,TRUE,Approved,Trek Bicycles,Standard,high,medium,495.72,$297.43,42105
8734,92,3485,5/12/2017,TRUE,Approved,WeareA2B,Touring,medium,large,1890.39,$260.14,42145
14360,0,3485,5/3/2017,FALSE,Approved,Norco Bicycles,Standard,medium,medium,360.4,$270.30,38859
17642,72,3485,29/5/2017,TRUE,Cancelled,OHM Cycles,Standard,medium,medium,912.52,$141.40,34143
391,86,3484,12/10/2017,FALSE,Approved,Norco Bicycles,Road,high,large,774.53,$464.72,35707
3163,69,3484,3/9/2017,FALSE,Approved,Norco Bicycles,Road,medium,large,1240.31,$795.10,38002
3375,85,3484,19/9/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1228.07,$400.91,40618
6490,38,3484,20/6/2017,FALSE,Approved,Trek Bicycles,Standard,medium,large,2091.47,$388.92,37698
7955,74,3484,27/2/2017,,Approved,WeareA2B,Standard,medium,medium,1762.96,$950.52,40784
8496,23,3484,28/2/2017,TRUE,Approved,Norco Bicycles,Standard,medium,medium,1198.46,$381.10,38216
10734,1,3484,18/2/2017,FALSE,Approved,Giant Bicycles,Touring,medium,large,1873.97,$863.95,34996
1766,0,3483,4/9/2017,FALSE,Approved,Solex,Road,medium,medium,416.98,$312.74,41064
4773,14,3483,29/4/2017,TRUE,Approved,Solex,Standard,high,large,1842.92,"$1,105.75",42710
5738,64,3483,3/1/2017,TRUE,Approved,Giant Bicycles,Standard,high,small,1977.36,"$1,759.85",36146
6572,53,3483,23/3/2017,TRUE,Approved,Giant Bicycles,Standard,high,medium,1274.93,$764.96,37838
8265,100,3483,1/4/2017,TRUE,Approved,Trek Bicycles,Standard,medium,small,1386.84,"$1,234.29",34586
11001,32,3483,20/2/2017,TRUE,Approved,Giant Bicycles,Standard,high,medium,1179,$707.40,41434
610,85,3482,20/10/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,752.64,$205.36,36833
5909,74,3482,11/1/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1228.07,$400.91,42226
6719,24,3482,12/3/2017,FALSE,Approved,Solex,Road,medium,large,1777.8,$820.78,39031
7493,1,3482,2/4/2017,FALSE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,$954.82,37659
12666,64,3482,10/7/2017,FALSE,Approved,Trek Bicycles,Standard,medium,large,1469.44,$596.55,40410
15230,78,3482,1/3/2017,TRUE,Approved,Giant Bicycles,Standard,medium,large,1765.3,$709.48,38339
18220,42,3482,3/12/2017,TRUE,Approved,OHM Cycles,Road,medium,small,1810,"$1,610.90",34071
19235,94,3482,26/7/2017,TRUE,Approved,Giant Bicycles,Standard,medium,large,1635.3,$993.66,42458
558,0,3481,22/2/2017,FALSE,Approved,Trek Bicycles,Standard,high,medium,495.72,$297.43,42105
7634,0,3481,9/3/2017,FALSE,Approved,Solex,Standard,medium,medium,441.49,$84.99,34071
8062,0,3481,11/7/2017,TRUE,Approved,Giant Bicycles,Standard,medium,medium,230.91,$173.18,39031
8658,74,3481,6/11/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1762.96,$950.52,41848
9197,0,3481,4/5/2017,FALSE,Approved,OHM Cycles,Standard,medium,medium,235.63,$125.07,38206
14492,50,3481,3/10/2017,TRUE,Approved,Giant Bicycles,Standard,medium,medium,642.7,$211.37,37337
19785,32,3481,3/7/2017,TRUE,Approved,Giant Bicycles,Standard,high,medium,1179,$707.40,35667
1730,96,3480,14/12/2017,FALSE,Approved,WeareA2B,Road,low,small,1172.78,"$1,043.77",37539
2542,10,3480,26/1/2017,FALSE,Approved,WeareA2B,Touring,medium,medium,1466.68,$363.25,41701
17300,59,3480,29/10/2017,TRUE,Approved,Solex,Standard,medium,large,1061.56,$733.58,34170
18014,15,3480,8/9/2017,FALSE,Approved,Norco Bicycles,Standard,low,medium,958.74,$748.90,38693
5478,90,3479,9/6/2017,FALSE,Approved,Norco Bicycles,Standard,low,medium,363.01,$290.41,38482
6118,11,3479,19/3/2017,TRUE,Approved,Giant Bicycles,Standard,high,medium,1274.93,$764.96,39298
9336,84,3479,26/5/2017,TRUE,Approved,Trek Bicycles,Road,medium,medium,290.62,$215.14,38339
10722,54,3479,29/11/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,1292.84,$13.44,39915
12014,80,3479,29/5/2017,TRUE,Approved,OHM Cycles,Touring,low,medium,1073.07,$933.84,35455
16624,47,3479,26/10/2017,TRUE,Approved,Trek Bicycles,Road,low,small,1720.7,"$1,531.42",38991
1318,12,3478,8/6/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1231.15,$161.60,38216
2864,32,3478,24/9/2017,FALSE,Approved,Giant Bicycles,Standard,medium,medium,642.7,$211.37,37337
4306,74,3478,5/11/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1228.07,$400.91,36668
11497,27,3478,1/12/2017,FALSE,Approved,Trek Bicycles,Standard,medium,medium,499.53,$388.72,36334
14101,100,3478,20/11/2017,TRUE,Approved,Norco Bicycles,Road,medium,medium,1036.59,$206.35,33364
18185,65,3478,11/10/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,1807.45,$778.69,42145
602,89,3477,23/8/2017,TRUE,Approved,WeareA2B,Touring,medium,large,1362.99,$57.74,37874
1907,60,3477,6/5/2017,FALSE,Approved,Giant Bicycles,Standard,high,small,1977.36,"$1,759.85",36146
3426,50,3477,27/10/2017,TRUE,Approved,WeareA2B,Standard,medium,small,175.89,$131.92,37220
6200,69,3477,25/10/2017,TRUE,Approved,Giant Bicycles,Road,medium,medium,792.9,$594.68,41922
8386,1,3477,25/9/2017,FALSE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,$954.82,38573
10526,42,3477,10/5/2017,TRUE,Approved,OHM Cycles,Road,medium,small,1810,"$1,610.90",36498
13272,53,3477,27/2/2017,FALSE,Approved,OHM Cycles,Standard,medium,medium,795.34,$101.58,37823
16744,55,3477,23/3/2017,,Approved,Trek Bicycles,Road,medium,large,1894.19,$598.76,36146
465,31,3476,17/4/2017,FALSE,Approved,Giant Bicycles,Standard,medium,medium,230.91,$173.18,39031
3225,31,3476,2/11/2017,TRUE,Approved,Giant Bicycles,Standard,medium,medium,230.91,$173.18,39031
11767,93,3476,10/11/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1065.03,$230.09,36833
14969,27,3476,20/8/2017,TRUE,Approved,Trek Bicycles,Standard,medium,medium,499.53,$388.72,36334
17112,6,3476,17/7/2017,FALSE,Approved,OHM Cycles,Standard,high,medium,227.88,$136.73,37659
4817,50,3475,27/12/2017,FALSE,Approved,WeareA2B,Standard,medium,small,175.89,$131.92,37668
5934,74,3475,25/6/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1228.07,$400.91,36668
12387,64,3475,17/3/2017,FALSE,Approved,Trek Bicycles,Standard,medium,large,1469.44,$596.55,41047
12815,58,3475,11/2/2017,FALSE,Approved,OHM Cycles,Standard,medium,medium,912.52,$141.40,42295
1390,49,3474,15/8/2017,TRUE,Approved,Trek Bicycles,Road,medium,medium,533.51,$400.13,35707
1976,3,3474,26/8/2017,TRUE,Approved,Trek Bicycles,Standard,medium,large,2091.47,$388.92,42145
9955,15,3474,10/9/2017,TRUE,Approved,Norco Bicycles,Standard,low,medium,958.74,$748.90,41345
16442,70,3474,20/10/2017,TRUE,Approved,Trek Bicycles,Standard,high,medium,495.72,$297.43,36367
16803,5,3474,13/7/2017,TRUE,Approved,Trek Bicycles,Mountain,low,medium,574.64,$459.71,38206
60,60,3473,18/12/2017,FALSE,Approved,Giant Bicycles,Standard,high,small,1977.36,"$1,759.85",41848
11079,1,3473,4/8/2017,FALSE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,$954.82,35667
16206,33,3473,7/10/2017,TRUE,Approved,Giant Bicycles,Standard,medium,small,1311.44,"$1,167.18",36498
17845,53,3473,19/5/2017,FALSE,Approved,OHM Cycles,Standard,medium,medium,795.34,$101.58,38647
2494,20,3472,20/8/2017,FALSE,Approved,Trek Bicycles,Standard,medium,small,1775.81,"$1,580.47",34115
11654,5,3472,9/2/2017,FALSE,Approved,Trek Bicycles,Mountain,low,medium,574.64,$459.71,39298
11720,15,3472,25/12/2017,FALSE,Approved,Norco Bicycles,Standard,low,medium,958.74,$748.90,35160
16686,64,3472,15/7/2017,TRUE,Approved,Trek Bicycles,Standard,medium,large,1469.44,$596.55,41047
19420,55,3472,7/2/2017,TRUE,Approved,Trek Bicycles,Road,medium,large,1894.19,$598.76,35707
19772,6,3472,9/2/2017,TRUE,Approved,OHM Cycles,Standard,high,medium,227.88,$136.73,38258
4908,0,3471,30/6/2017,TRUE,Approved,Giant Bicycles,Standard,medium,medium,230.91,$173.18,33888
5373,62,3471,24/2/2017,FALSE,Approved,Solex,Standard,high,medium,1024.66,$614.80,35378
7394,82,3471,30/4/2017,TRUE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65,33888
17229,14,3471,4/8/2017,FALSE,Approved,Solex,Standard,high,large,1842.92,"$1,105.75",36668
93,33,3470,28/11/2017,TRUE,Approved,Giant Bicycles,Standard,medium,small,1311.44,"$1,167.18",36498
656,26,3470,28/12/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,1992.93,$762.63,42218
1883,43,3470,27/6/2017,FALSE,Approved,Solex,Standard,medium,medium,1151.96,$649.49,42295
2771,51,3470,1/1/2017,FALSE,Approved,OHM Cycles,Standard,high,medium,2005.66,"$1,203.40",39427
5238,24,3470,2/11/2017,FALSE,Approved,Solex,Road,medium,large,1777.8,$820.78,42710
6280,8,3470,18/9/2017,FALSE,Approved,Solex,Road,medium,small,1703.52,"$1,516.13",34079
9979,3,3470,6/7/2017,TRUE,Approved,Trek Bicycles,Standard,medium,large,2091.47,$388.92,38206
18036,3,3470,27/4/2017,TRUE,Approved,Trek Bicycles,Standard,medium,large,2091.47,$388.92,35560
1314,5,3469,4/6/2017,FALSE,Approved,Trek Bicycles,Mountain,low,medium,574.64,$459.71,39298
2192,2,3469,22/11/2017,TRUE,Approved,Solex,Standard,medium,medium,71.49,$53.62,38258
2615,89,3469,24/11/2017,,Approved,WeareA2B,Touring,medium,large,1362.99,$57.74,37539
9347,8,3469,6/8/2017,FALSE,Approved,Solex,Road,medium,small,1703.52,"$1,516.13",41701
507,71,3468,2/9/2017,TRUE,Approved,Solex,Standard,high,large,1842.92,"$1,105.75",34996
1461,72,3468,26/3/2017,FALSE,Approved,Norco Bicycles,Standard,medium,medium,360.4,$270.30,42710
2297,34,3468,4/12/2017,TRUE,Approved,Norco Bicycles,Road,high,large,774.53,$464.72,37698
10029,66,3468,30/1/2017,,Approved,Giant Bicycles,Road,low,small,590.26,$525.33,40487
10435,14,3468,29/12/2017,FALSE,Approved,Trek Bicycles,Standard,medium,small,1386.84,"$1,234.29",37838
15307,70,3468,11/9/2017,TRUE,Approved,Trek Bicycles,Standard,high,medium,495.72,$297.43,42105
17555,60,3468,27/12/2017,FALSE,Approved,Giant Bicycles,Standard,high,small,1977.36,"$1,759.85",40779
266,44,3467,7/11/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1769.64,$108.76,40672
820,32,3467,8/10/2017,FALSE,Approved,Giant Bicycles,Standard,medium,medium,642.7,$211.37,37337
2667,52,3467,17/4/2017,TRUE,Approved,OHM Cycles,Road,medium,medium,1280.28,$829.51,37220
5701,10,3467,25/12/2017,FALSE,Approved,WeareA2B,Touring,medium,medium,1466.68,$363.25,41701
10417,79,3467,2/7/2017,FALSE,Approved,Norco Bicycles,Standard,medium,medium,1555.58,$818.01,37873
11640,38,3467,2/5/2017,FALSE,Approved,Solex,Standard,medium,medium,1577.53,$826.51,40618
249,61,3466,10/2/2017,TRUE,Approved,OHM Cycles,Standard,low,medium,71.16,$56.93,42172
12919,16,3466,23/10/2017,FALSE,Approved,Norco Bicycles,Standard,high,small,1661.92,"$1,479.11",34586
17495,23,3466,25/8/2017,TRUE,Approved,Norco Bicycles,Mountain,low,small,688.63,$612.88,34244
1216,61,3465,29/7/2017,TRUE,Approved,Norco Bicycles,Standard,medium,small,586.45,$521.94,36145
2945,0,3465,19/10/2017,FALSE,Approved,OHM Cycles,Standard,high,medium,227.88,$136.73,42560
9210,33,3465,21/4/2017,FALSE,Approved,OHM Cycles,Road,medium,small,1810,"$1,610.90",40672
15969,45,3465,24/3/2017,TRUE,Approved,Trek Bicycles,Road,low,medium,980.37,$234.43,39298
16558,40,3465,28/8/2017,TRUE,Approved,Trek Bicycles,Road,medium,large,1894.19,$598.76,42172
17120,10,3465,21/6/2017,TRUE,Approved,Solex,Standard,medium,medium,1945.43,$333.18,37499
18068,0,3465,4/6/2017,TRUE,Approved,Giant Bicycles,Standard,medium,medium,230.91,$173.18,40618
18070,97,3465,24/3/2017,FALSE,Approved,OHM Cycles,Road,medium,medium,742.54,$667.40,35378
18486,67,3465,1/7/2017,TRUE,Cancelled,Solex,Standard,medium,large,1071.23,$380.74,35160
19171,19,3465,3/5/2017,FALSE,Approved,Trek Bicycles,Mountain,low,medium,574.64,$459.71,37659
4228,0,3464,4/6/2017,FALSE,Approved,,,,,1142.89,,
18822,30,3464,13/12/2017,,Approved,Solex,Standard,high,medium,748.17,$448.90,37337
1096,34,3463,30/1/2017,TRUE,Approved,Norco Bicycles,Road,high,large,774.53,$464.72,37698
10382,23,3463,3/2/2017,TRUE,Approved,Norco Bicycles,Mountain,low,small,688.63,$612.88,34244
12832,40,3463,3/11/2017,TRUE,Approved,OHM Cycles,Standard,high,medium,1458.17,$874.90,38750
19648,91,3463,12/6/2017,FALSE,Approved,Solex,Standard,medium,medium,100.35,$75.26,36367
2022,45,3462,9/12/2017,FALSE,Approved,Trek Bicycles,Road,low,medium,980.37,$234.43,38258
7845,36,3462,9/11/2017,TRUE,Approved,Solex,Standard,low,medium,1289.85,$74.51,39427
10432,21,3462,3/6/2017,TRUE,Approved,WeareA2B,Touring,medium,medium,1466.68,$363.25,41701
13764,15,3462,7/5/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,1292.84,$13.44,39915
16340,0,3462,16/11/2017,TRUE,Approved,Norco Bicycles,Standard,low,medium,363.01,$290.41,38482
1613,58,3461,7/1/2017,FALSE,Approved,OHM Cycles,Standard,medium,medium,912.52,$141.40,42172
5967,34,3461,19/7/2017,TRUE,Approved,Norco Bicycles,Road,high,large,774.53,$464.72,36361
6878,42,3461,12/4/2017,FALSE,Approved,OHM Cycles,Road,medium,small,1810,"$1,610.90",41064
13937,80,3461,14/8/2017,FALSE,Approved,OHM Cycles,Touring,low,medium,1073.07,$933.84,35667
14431,58,3461,16/8/2017,TRUE,Approved,OHM Cycles,Standard,medium,medium,912.52,$141.40,36146
17592,79,3461,22/5/2017,FALSE,Approved,Norco Bicycles,Standard,medium,medium,1555.58,$818.01,35455
19362,89,3461,26/5/2017,FALSE,Approved,WeareA2B,Touring,medium,large,1362.99,$57.74,41434
5713,54,3460,29/4/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,1292.84,$13.44,39915
5809,71,3460,5/11/2017,FALSE,Cancelled,Solex,Standard,high,large,1842.92,"$1,105.75",34996
7061,9,3460,14/2/2017,FALSE,Approved,OHM Cycles,Road,medium,medium,742.54,$667.40,33549
7497,44,3460,6/7/2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1769.64,$108.76,40672
11149,45,3460,11/10/2017,TRUE,Approved,Solex,Standard,medium,medium,441.49,$84.99,34071
17869,39,3460,21/2/2017,FALSE,Approved,Giant Bicycles,Standard,medium,large,1812.75,$582.48,40336
19189,64,3460,4/6/2017,FALSE,Approved,Trek Bicycles,Standard,medium,large,1469.44,$596.55,41047
19374,44,3460,29/1/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,1769.64,$108.76,40672
19918,1,3460,12/7/2017,TRUE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,$954.82,42688
7873,28,3459,4/7/2017,FALSE,Approved,Norco Bicycles,Standard,medium,small,1216.14,"$1,082.36",39031
13648,35,3459,24/6/2017,FALSE,Approved,Trek Bicycles,Standard,low,medium,1057.51,$154.40,40336
14529,57,3459,25/10/2017,TRUE,Approved,WeareA2B,Touring,medium,large,1890.39,$260.14,40779
14361,25,3458,8/6/2017,TRUE,Approved,OHM Cycles,Standard,high,medium,2005.66,"$1,203.40",42295
15349,0,3458,13/9/2017,FALSE,Approved,Norco Bicycles,Road,medium,medium,543.39,$407.54,36361
17862,61,3458,11/5/2017,,Approved,Norco Bicycles,Standard,medium,small,586.45,$521.94,38206
19008,25,3458,6/2/2017,FALSE,Approved,OHM Cycles,Standard,high,medium,2005.66,"$1,203.40",41009
1680,5,3457,14/2/2017,FALSE,Approved,Trek Bicycles,Mountain,low,medium,574.64,$459.71,40784
10991,37,3457,24/9/2017,TRUE,Approved,OHM Cycles,Standard,low,medium,1793.43,$248.82,36361
13231,98,3457,14/5/2017,FALSE,Approved,Trek Bicycles,Standard,high,medium,358.39,$215.03,38002
7823,25,3456,23/7/2017,TRUE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65,36334
10438,88,3456,28/8/2017,FALSE,Approved,Norco Bicycles,Standard,medium,medium,1198.46,$381.10,36145
14609,64,3456,28/10/2017,FALSE,Approved,Trek Bicycles,Standard,medium,large,1469.44,$596.55,34996
53,6,3455,21/12/2017,TRUE,Approved,OHM Cycles,Standard,high,medium,227.88,$136.73,33549
1277,2,3455,27/6/2017,TRUE,Approved,Solex,Standard,medium,medium,71.49,$53.62,41167
3887,34,3455,16/2/2017,FALSE,Approved,Norco Bicycles,Road,high,large,774.53,$464.72,37698
9994,82,3455,11/5/2017,TRUE,Approved,Norco Bicycles,Standard,high,medium,1148.64,$689.18,36145
15852,48,3455,1/1/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,1762.96,$950.52,35707
16539,23,3455,16/1/2017,FALSE,Approved,Norco Bicycles,Mountain,low,small,688.63,$612.88,36334
1151,76,3454,31/8/2017,TRUE,Approved,WeareA2B,Standard,low,medium,642.31,$513.85,41922
12050,42,3454,5/6/2017,FALSE,Approved,OHM Cycles,Road,medium,small,1810,"$1,610.90",39526
12668,95,3454,30/5/2017,TRUE,Approved,Giant Bicycles,Standard,medium,large,569.56,$528.43,37874
16495,74,3454,6/5/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,1228.07,$400.91,36668
17679,33,3454,6/9/2017,TRUE,Approved,Giant Bicycles,Standard,medium,small,1311.44,"$1,167.18",33888
7226,82,3453,4/4/2017,FALSE,Approved,Norco Bicycles,Standard,high,medium,1148.64,$689.18,42226
7908,4,3453,13/6/2017,FALSE,Approved,Giant Bicycles,Standard,high,medium,1129.13,$677.48,38573
10177,93,3453,15/7/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,1065.03,$230.09,36833
15528,62,3453,15/7/2017,TRUE,Approved,Solex,Standard,medium,medium,478.16,$298.72,34143
16533,60,3453,24/8/2017,TRUE,Approved,Giant Bicycles,Standard,high,small,1977.36,"$1,759.85",40779
17170,70,3453,19/10/2017,FALSE,Approved,Trek Bicycles,Standard,high,medium,495.72,$297.43,42105
11697,38,3452,10/4/2017,TRUE,Approved,Solex,Standard,medium,medium,1577.53,$826.51,37220
15079,12,3452,28/12/2017,FALSE,Approved,WeareA2B,Standard,medium,medium,1231.15,$161.60,34170
4015,46,3451,19/11/2017,TRUE,Approved,OHM Cycles,Standard,low,medium,1793.43,$248.82,36361
5687,50,3451,30/3/2017,FALSE,Approved,Giant Bicycles,Standard,medium,medium,642.7,$211.37,37337
5883,0,3451,2/12/2017,FALSE,Approved,OHM Cycles,Standard,medium,medium,235.63,$125.07,38206
8310,0,3451,29/10/2017,FALSE,Approved,Trek Bicycles,Road,medium,medium,533.51,$400.13,41064
9154,21,3451,15/12/2017,TRUE,Approved,WeareA2B,Touring,medium,medium,1466.68,$363.25,41701
